,pid,name,family_name,sex,father_pid,mother_pid,paths,merge_count
435,346,Jane Etta,PITT-JOLIE,M,,,"['in/Family_118/Jane Etta_mother', '527']",2
458,367,Melissa Rivers,RIVERS.JOAN,F,599.0,369.0,"['fr/Family_74/Melissa_Rivers_daughter', '559']",2
215,590,Bill Gates,GATES.BILL,M,35.0,,"['307', 'fr/Family_68/Bill_gates_father']",2
432,236,Knox,PITT-JOLIE,M,572.0,706.0,"['529', 'in/Family_72/Knox_son']",2
548,488,Uma Thurman,THURMAN.UMA,F,46.0,342.0,"['fr/Family_58/Uma_thurman_mother', '658']",2
252,1050,Maria Teresa Mestre,HENRI.GRAND.DUKE.OF.LUXEMBOURG,F,,,"['fr/Family_35/Maria_Teresa_Mestre_mother', '350']",2
457,369,Rivers Joan,RIVERS.JOAN,F,,,"['fr/Family_74/RIVERS_JOAN_mother', '558']",2
7,615,Maha,ADULYADEJ.BHUMIBOL,M,859.0,143.0,"['in/Family_3/Maha_son', '18']",2
619,42,Arnold Schwarzenegger,,M,,,"['in/Family_134/Arnold Schwarzenegger_father', 'fr/Family_28/Arnold_Schwarzenegger_father']",2
425,287,Ozzy Osbourne,Osbourne.Ozzy,M,,,"['832', 'fr/Family_25/ozzy_osbourne_father']",2
426,463,Kelly (daughter),Osbourne.Ozzy,F,287.0,399.0,"['834', 'fr/Family_25/Kelly_Osbourne_daughter']",2
423,399,Sharon Osbourne,Osbourne.Ozzy,F,,,"['833', 'fr/Family_25/Sharon_Osbourne_mother']",2
616,16,Craig Hemsworth,,M,,,"['in/Family_126/Craig Hemsworth_father', 'in/Family_125/Craig Hemsworth_father']",2
216,817,Melinda Gates,GATES.BILL,F,,,"['305', 'fr/Family_68/melinda_gates_mother']",2
146,768,Jakob Dylan,DYLAN.BOB,M,806.0,,"['in/Family_32/Jakob_Dylan_father', '207']",2
338,459,Dina Lohan,LOHAN.LINDSAY,F,,,"['424', 'fr/Family_23/Dina_Lohan_mother']",2
337,539,Michael Lohan,LOHAN.LINDSAY,M,,,"['fr/Family_23/Michael_Lohan_father', '427']",2
219,994,Jennifer Katharine Gates,GATES.BILL,F,590.0,817.0,"['304', 'fr/Family_68/Jennifer_Katharine_Gates_daughter']",2
418,100,Malia (daughter),Obama.Barack,F,611.0,103.0,"['875', 'fr/Family_18/Malia_Obama_daughter']",2
420,103,Michelle (wife),Obama.Barack,F,,,"['874', 'fr/Family_18/michelle_obama_mother']",2
421,611,Barack Obama,Obama.Barack,M,,,"['fr/Family_18/Barack_Obama_father', '873']",2
324,536,Julian,LENNON.JOHN,M,534.0,344.0,"['in/Family_59/Julian_son', '410']",2
545,109,Willow (daughter),Smith.Will,F,158.0,90.0,"['fr/Family_20/willow_smith_daughter', '831']",2
553,625,Ethan Hawke,THURMAN.UMA,M,,,"['660', 'fr/Family_58/ethan_hawke_father']",2
