,iid,age,dominant_race,dominant_emotion
317,6854,25,indian,angry
318,6855,25,white,happy
319,6856,24,indian,angry
320,6857,25,middle eastern,angry
321,6858,22,indian,sad
322,6859,31,white,fear
323,1734,49,white,neutral
324,1735,35,white,happy
325,1736,49,white,happy
326,1737,43,white,happy
327,6860,32,white,happy
328,6861,32,white,happy
329,6862,31,white,neutral
330,6863,28,asian,happy
331,6864,33,white,happy
332,6865,32,white,happy
333,6866,32,white,happy
334,6867,29,white,happy
335,6868,30,white,happy
336,6869,30,white,happy
337,6870,32,white,happy
338,6871,28,white,happy
339,956,30,white,neutral
340,960,31,white,happy
341,686,36,white,happy
342,687,41,white,happy
343,688,33,white,happy
344,689,36,white,happy
345,10,37,white,neutral
346,11,37,white,angry
347,6,27,white,happy
348,7,38,white,sad
349,9,31,white,sad
350,2884,24,white,happy
351,2886,28,white,happy
352,2887,22,white,neutral
353,2889,23,white,happy
354,1981,34,latino hispanic,happy
355,1982,32,latino hispanic,happy
356,1983,29,latino hispanic,happy
357,1984,29,white,neutral
358,1985,29,white,happy
359,1986,33,latino hispanic,happy
360,5047,32,black,happy
361,5048,32,black,happy
362,5049,31,black,happy
363,5050,25,asian,happy
364,5051,33,black,happy
365,5052,29,latino hispanic,neutral
366,5053,32,black,happy
367,5054,32,black,happy
368,5055,32,asian,happy
369,5056,32,black,happy
370,5057,31,asian,neutral
371,518,30,white,neutral
372,520,26,white,neutral
373,521,25,white,happy
374,522,23,white,happy
375,3010,32,white,happy
376,3011,30,white,happy
377,3012,34,white,sad
378,3013,32,white,happy
379,3015,33,white,happy
380,3016,33,latino hispanic,happy
381,3018,29,latino hispanic,happy
382,3021,32,latino hispanic,happy
383,3022,33,white,happy
384,3023,31,white,happy
385,3984,32,white,sad
386,3985,31,white,happy
387,3986,30,white,angry
388,3987,32,white,sad
389,3988,32,white,happy
390,3989,31,white,happy
391,3990,29,white,neutral
392,2911,32,white,happy
393,2913,30,white,neutral
394,2914,30,latino hispanic,happy
395,2915,30,latino hispanic,neutral
396,2916,33,white,happy
397,2917,31,white,happy
398,6872,23,latino hispanic,happy
399,6873,24,middle eastern,happy
400,6874,23,middle eastern,angry
401,6875,24,latino hispanic,angry
402,6876,22,indian,happy
403,6877,27,middle eastern,neutral
404,6878,23,white,happy
405,6879,26,indian,neutral
406,6880,26,indian,angry
407,6881,22,middle eastern,happy
408,6882,23,middle eastern,angry
409,6883,22,indian,happy
410,6884,29,middle eastern,sad
411,6885,23,middle eastern,happy
412,1496,24,latino hispanic,happy
413,1497,23,indian,neutral
414,1498,23,middle eastern,happy
415,1499,27,latino hispanic,neutral
416,1500,25,middle eastern,sad
417,6886,27,white,neutral
418,6887,27,white,happy
419,6888,28,indian,happy
420,6889,29,white,happy
421,6890,27,latino hispanic,neutral
422,6891,24,white,neutral
423,6892,29,white,happy
424,6893,27,white,neutral
425,1082,25,white,happy
426,1083,42,latino hispanic,happy
427,1084,31,white,neutral
428,1086,29,white,happy
429,1090,26,white,happy
430,1092,39,white,happy
431,1209,27,white,happy
432,1211,27,white,happy
433,1212,26,white,neutral
434,1214,27,white,neutral
435,1218,27,white,happy
436,1219,26,white,happy
437,1222,26,white,happy
438,1224,30,white,happy
439,1225,24,white,happy
440,1227,26,white,happy
441,3955,35,white,happy
442,3956,23,white,happy
443,3957,26,white,happy
444,3958,26,white,happy
445,3959,31,white,happy
446,3960,29,white,happy
447,3864,32,white,happy
448,3866,33,white,happy
449,3868,32,white,neutral
450,3869,35,white,happy
451,3870,36,white,happy
452,3871,32,white,happy
453,3872,40,latino hispanic,happy
454,3873,38,latino hispanic,happy
455,1038,30,white,happy
456,1039,49,white,sad
457,4850,25,asian,neutral
458,4851,24,asian,happy
459,4327,29,asian,neutral
460,4328,29,black,happy
461,4329,29,black,neutral
462,4330,29,black,neutral
463,4331,26,asian,neutral
464,4332,30,black,sad
465,4334,27,black,happy
466,4335,23,asian,fear
467,4336,25,black,neutral
468,4337,30,black,neutral
469,4338,27,asian,neutral
470,4339,30,black,neutral
471,4340,29,asian,neutral
472,4341,31,black,happy
473,4342,28,black,happy
474,4343,28,black,angry
475,6895,41,middle eastern,neutral
476,6896,42,white,angry
477,6897,33,white,neutral
478,6898,49,white,happy
479,4716,29,middle eastern,happy
480,4720,28,white,happy
481,6899,30,white,happy
482,6900,32,white,happy
483,6901,30,white,happy
484,6902,25,white,happy
485,6903,30,white,happy
486,6904,31,white,happy
487,6905,35,white,happy
488,6906,33,white,happy
489,6907,32,white,happy
490,6908,33,latino hispanic,happy
491,6909,29,white,neutral
492,6912,33,white,neutral
493,238,29,white,neutral
494,2424,25,white,happy
495,2427,23,white,happy
496,2430,28,white,happy
497,2431,25,white,happy
498,2432,31,white,fear
499,656,23,white,happy
500,657,23,white,happy
501,658,23,white,neutral
502,660,24,white,happy
503,661,24,white,happy
504,662,23,white,happy
505,6913,29,asian,happy
506,6914,31,asian,happy
507,6915,28,asian,happy
508,2778,32,white,happy
509,2779,31,white,happy
510,2780,31,white,happy
511,2781,28,asian,fear
512,2782,31,white,neutral
513,2514,27,white,happy
514,2515,24,white,happy
515,772,33,white,happy
516,774,35,white,happy
517,2853,23,white,happy
518,2858,23,white,happy
519,6918,22,white,happy
520,6919,24,white,happy
521,6920,26,white,happy
522,6921,24,white,happy
523,6922,24,white,happy
524,6923,23,white,happy
525,6924,23,white,happy
526,6925,24,white,happy
527,6926,26,white,happy
528,2824,23,white,neutral
529,2825,34,white,happy
530,2826,34,white,angry
531,2827,27,white,angry
532,2828,24,white,angry
533,4216,35,asian,happy
534,4217,29,latino hispanic,angry
535,4218,48,asian,angry
536,4219,24,latino hispanic,happy
537,4220,43,latino hispanic,happy
538,4221,39,asian,happy
539,1739,26,white,happy
540,1740,29,white,neutral
541,1741,31,white,happy
542,1742,30,white,happy
543,1743,26,white,happy
544,1744,24,white,happy
545,1745,35,white,happy
546,1746,25,white,happy
547,1747,28,white,happy
548,6927,33,latino hispanic,neutral
549,6928,37,white,neutral
550,6929,44,middle eastern,happy
551,6930,28,middle eastern,happy
552,6931,33,middle eastern,neutral
553,6932,30,indian,neutral
554,6933,29,middle eastern,neutral
555,6934,27,white,sad
556,6935,28,latino hispanic,fear
557,6936,35,indian,happy
558,6937,24,indian,neutral
559,6938,35,middle eastern,sad
560,6939,48,latino hispanic,disgust
561,6940,27,white,angry
562,6941,35,latino hispanic,happy
563,3047,37,white,angry
564,3049,28,white,happy
565,3050,40,white,happy
566,1687,34,asian,happy
567,1688,31,white,happy
568,6942,34,black,happy
569,6943,39,white,happy
570,6944,39,latino hispanic,happy
571,6945,39,latino hispanic,happy
572,6946,31,latino hispanic,happy
573,680,27,white,happy
574,681,26,white,happy
575,682,23,latino hispanic,happy
576,683,33,white,happy
577,684,35,white,happy
578,685,26,white,happy
579,2569,23,white,neutral
580,2570,23,white,happy
581,2572,30,latino hispanic,happy
582,2573,28,middle eastern,neutral
583,2574,22,white,neutral
584,2575,29,white,happy
585,2576,22,white,happy
586,2930,27,white,sad
587,2932,28,white,happy
588,3884,41,white,neutral
589,3885,37,white,angry
590,3886,47,white,neutral
591,3888,49,white,happy
592,3890,45,white,happy
593,3891,35,white,neutral
594,6947,49,white,neutral
595,6948,44,white,happy
596,6949,43,white,happy
597,6950,47,white,neutral
598,6951,36,white,angry
599,6952,45,indian,happy
600,6953,32,middle eastern,angry
601,6954,32,latino hispanic,neutral
602,1691,30,white,happy
603,1692,23,middle eastern,neutral
604,1693,23,white,angry
605,1694,25,middle eastern,neutral
606,1695,23,middle eastern,neutral
607,1696,23,middle eastern,happy
608,1697,23,middle eastern,neutral
609,1698,23,middle eastern,neutral
610,1699,23,white,neutral
611,1701,23,middle eastern,neutral
612,1702,24,middle eastern,happy
613,4813,41,black,happy
614,4800,34,asian,happy
615,766,31,black,happy
616,767,31,black,happy
617,768,28,asian,sad
618,769,31,asian,happy
619,770,29,asian,happy
620,2240,31,indian,angry
621,2241,30,asian,sad
622,2242,32,black,happy
623,2243,37,black,sad
624,2244,30,black,sad
625,2245,29,asian,sad
626,2246,33,black,happy
627,2247,31,black,neutral
628,2249,30,asian,happy
629,2250,26,asian,fear
630,4755,32,black,happy
631,4756,31,black,happy
632,4757,32,black,happy
633,4758,33,black,happy
634,4759,37,black,happy
635,4760,35,black,happy
636,4761,32,black,happy
637,4762,39,black,happy
638,4763,35,black,happy
639,4764,33,black,happy
640,4765,34,black,happy
641,4766,34,black,happy
642,4767,32,black,happy
643,4768,37,black,happy
644,4770,33,black,happy
645,4771,33,black,sad
646,4773,32,black,happy
647,4775,32,black,sad
648,4776,36,black,happy
649,4777,39,black,happy
650,4778,33,black,happy
651,4779,33,black,happy
652,4780,34,black,happy
653,4781,35,black,happy
654,4783,33,black,happy
655,4784,32,black,happy
656,4785,40,black,happy
657,4786,32,black,happy
658,4787,34,black,happy
659,4788,38,black,happy
660,4790,31,black,happy
661,4791,32,black,happy
662,4792,34,black,happy
663,4793,28,asian,happy
664,4794,35,black,happy
665,962,42,black,happy
666,963,33,black,happy
667,964,33,black,happy
668,966,38,black,happy
669,967,32,black,happy
670,968,43,black,happy
671,977,35,black,happy
672,979,41,black,happy
673,2251,43,asian,happy
674,2252,39,black,angry
675,2253,43,asian,happy
676,2254,40,black,happy
677,2255,37,asian,happy
678,2256,42,black,sad
679,2257,36,asian,happy
680,2258,34,latino hispanic,fear
681,2259,43,black,happy
682,4805,33,black,happy
683,4807,33,latino hispanic,neutral
684,2267,29,asian,happy
685,2272,33,asian,neutral
686,2235,32,indian,neutral
687,2239,50,black,happy
688,5058,34,black,happy
689,5059,46,black,happy
690,5060,44,black,happy
691,5061,42,black,happy
692,5062,34,asian,happy
693,2276,35,white,sad
694,2278,31,white,happy
695,2280,27,latino hispanic,happy
696,2281,29,latino hispanic,sad
697,2282,29,asian,happy
698,3839,32,asian,happy
699,3840,30,black,angry
700,3841,35,black,fear
701,3843,32,black,neutral
702,1795,33,black,happy
703,1797,32,black,happy
704,1800,34,black,happy
705,1801,32,black,neutral
706,1803,29,black,happy
707,1759,30,black,happy
708,1760,33,black,neutral
709,1761,32,black,happy
710,1763,30,black,neutral
711,1767,25,black,neutral
712,4735,30,black,happy
713,4738,27,black,happy
714,4890,40,white,happy
715,4891,30,white,happy
716,4892,30,white,happy
717,4893,45,white,happy
718,4894,43,white,neutral
719,4895,45,white,happy
720,1975,45,black,happy
721,1978,36,asian,happy
722,1979,39,asian,happy
723,1980,34,latino hispanic,happy
724,3892,31,latino hispanic,happy
725,3895,33,latino hispanic,happy
726,1411,35,indian,happy
727,1412,34,indian,happy
728,1415,34,black,happy
729,2024,27,asian,happy
730,2027,38,asian,happy
731,2031,27,asian,happy
732,2034,27,asian,neutral
733,2036,34,latino hispanic,happy
734,2039,34,latino hispanic,happy
735,2040,32,white,happy
736,3801,31,black,happy
737,3803,31,black,happy
738,3805,29,black,happy
739,2541,51,asian,happy
740,2547,41,asian,happy
741,327,31,asian,sad
742,328,27,black,happy
743,329,34,asian,sad
744,330,36,latino hispanic,happy
745,331,30,asian,happy
746,2844,36,asian,neutral
747,2845,32,asian,happy
748,2846,37,asian,happy
749,2847,43,asian,happy
750,2848,28,asian,happy
751,2849,38,asian,happy
752,2850,24,latino hispanic,happy
753,2851,32,asian,happy
754,2852,26,asian,happy
755,4897,40,white,happy
756,4898,43,white,happy
757,4899,41,white,happy
758,4900,36,white,angry
759,4901,39,white,happy
760,4902,35,white,angry
761,4903,34,white,angry
762,84,34,latino hispanic,neutral
763,79,23,asian,happy
764,23,25,asian,sad
765,24,27,asian,happy
766,26,24,latino hispanic,neutral
767,27,43,asian,neutral
768,28,51,indian,happy
769,29,33,latino hispanic,neutral
770,30,32,asian,happy
771,31,36,asian,happy
772,32,35,white,fear
773,33,46,indian,happy
774,5063,25,asian,happy
775,5064,29,asian,happy
776,5065,25,asian,happy
777,5066,24,asian,happy
778,5067,33,asian,happy
779,5068,25,asian,happy
780,5069,25,asian,happy
781,5070,33,asian,happy
782,618,31,black,angry
783,620,27,black,neutral
784,4904,28,latino hispanic,fear
785,4905,26,white,angry
786,4906,33,latino hispanic,happy
787,4907,39,white,happy
788,4908,31,white,angry
789,4909,36,white,angry
790,4910,35,white,neutral
791,4911,41,white,neutral
792,4912,32,white,sad
793,981,29,black,angry
794,982,23,black,neutral
795,984,33,black,neutral
796,985,31,black,neutral
797,986,32,black,happy
798,987,29,black,happy
799,988,31,black,angry
800,5071,34,black,happy
801,5072,23,black,neutral
802,5073,22,black,sad
803,5074,29,black,happy
804,5075,24,black,neutral
805,5076,21,black,happy
806,5077,24,black,happy
807,5078,23,black,happy
808,5079,24,black,neutral
809,4236,26,black,neutral
810,4237,24,asian,happy
811,4238,23,black,neutral
812,4239,24,black,neutral
813,4240,29,black,neutral
814,4241,23,black,neutral
815,4243,30,asian,neutral
816,4244,27,black,neutral
817,4245,24,asian,happy
818,4247,24,black,sad
819,4248,25,black,neutral
820,4249,26,black,neutral
821,2644,38,black,fear
822,2645,38,black,neutral
823,2646,44,black,fear
824,2647,42,black,sad
825,2648,33,black,happy
826,2639,30,black,happy
827,2641,24,black,neutral
828,2642,33,black,happy
829,4250,28,black,happy
830,4251,34,black,neutral
831,4252,36,black,happy
832,4253,39,black,angry
833,4254,32,black,neutral
834,4255,30,black,happy
835,4256,26,black,happy
836,4257,31,black,happy
837,4258,30,black,happy
838,4259,34,black,happy
839,4260,32,black,happy
840,4261,30,black,happy
841,4262,31,black,happy
842,4263,27,black,happy
843,4264,29,black,happy
844,4265,32,black,happy
845,4266,27,black,happy
846,4267,26,black,happy
847,4268,35,black,happy
848,4269,26,black,happy
849,4270,37,black,happy
850,4271,37,black,happy
851,4272,30,black,happy
852,4281,27,black,happy
853,4913,43,asian,neutral
854,4914,43,white,happy
855,4915,37,white,happy
856,4916,38,white,happy
857,74,39,white,happy
858,75,40,asian,happy
859,76,32,latino hispanic,happy
860,77,38,asian,happy
861,18,32,latino hispanic,fear
862,22,28,asian,neutral
863,2518,31,asian,neutral
864,2519,33,asian,happy
865,2520,32,asian,neutral
866,2521,33,asian,happy
867,2522,33,asian,happy
868,2525,32,asian,happy
869,2526,33,asian,happy
870,2527,33,asian,happy
871,5080,35,white,fear
872,5081,35,white,happy
873,5082,33,white,happy
874,5083,36,indian,happy
875,5084,36,latino hispanic,happy
876,2285,34,black,sad
877,2286,31,black,happy
878,2287,33,black,happy
879,2288,31,black,neutral
880,2290,23,black,neutral
881,2291,32,black,neutral
882,2294,24,black,sad
883,2297,25,indian,neutral
884,2298,28,indian,happy
885,417,25,black,happy
886,418,21,black,happy
887,419,28,black,happy
888,420,22,black,happy
889,421,24,black,happy
890,422,27,black,happy
891,423,25,black,sad
892,424,26,black,neutral
893,405,28,black,neutral
894,406,25,black,neutral
895,407,28,black,happy
896,408,21,black,happy
897,409,22,black,happy
898,410,23,latino hispanic,happy
899,411,25,black,happy
900,412,22,black,happy
901,413,27,black,happy
902,1805,29,black,angry
903,1806,31,black,happy
904,1807,33,black,happy
905,1808,30,black,happy
906,1809,29,black,neutral
907,1812,32,black,happy
908,1813,30,black,happy
909,597,28,black,happy
910,600,24,black,happy
911,602,27,asian,happy
912,603,26,black,happy
913,2324,26,asian,neutral
914,2327,28,indian,happy
915,2329,28,black,neutral
916,2331,28,black,neutral
917,2332,32,black,neutral
918,1426,42,white,happy
919,1427,42,white,happy
920,1428,41,white,happy
921,1429,26,white,happy
922,1430,26,white,happy
923,2260,33,asian,angry
924,2262,30,black,sad
925,2264,38,latino hispanic,neutral
926,5085,39,white,fear
927,5086,32,latino hispanic,happy
928,5087,39,latino hispanic,happy
929,5088,35,latino hispanic,happy
930,5089,38,latino hispanic,happy
931,3574,32,black,happy
932,2219,29,black,neutral
933,2220,24,black,neutral
934,2221,25,asian,happy
935,2223,25,black,fear
936,2225,24,black,happy
937,2226,46,asian,happy
938,2227,34,asian,sad
939,2228,28,asian,happy
940,2229,31,black,neutral
941,2231,41,black,neutral
942,2211,30,black,happy
943,2212,49,latino hispanic,happy
944,2213,35,black,happy
945,2214,39,black,happy
946,2215,40,indian,fear
947,2216,35,black,happy
948,969,39,black,happy
949,970,28,black,happy
950,971,39,black,happy
951,972,25,black,neutral
952,973,40,black,angry
953,974,39,black,happy
954,634,38,black,happy
955,635,31,black,happy
956,4109,37,white,happy
957,4111,34,white,happy
958,1410,51,black,neutral
959,5090,41,black,happy
960,5091,31,black,happy
961,5092,30,black,neutral
962,5093,36,latino hispanic,neutral
963,5094,32,black,happy
964,3796,29,black,happy
965,3797,31,black,happy
966,5095,33,black,happy
967,5096,32,black,happy
968,5097,39,asian,happy
969,5098,33,black,happy
970,1389,32,black,happy
971,1393,32,black,happy
972,1394,25,black,happy
973,1395,29,black,happy
974,1322,29,white,neutral
975,1323,27,latino hispanic,neutral
976,1324,27,white,happy
977,1326,31,white,happy
978,497,48,white,happy
979,499,41,white,happy
980,3845,44,black,sad
981,3846,30,white,fear
982,3848,44,black,fear
983,3849,34,black,happy
984,3850,32,black,happy
985,3851,34,black,happy
986,3852,37,black,sad
987,3853,32,black,sad
988,3854,36,black,sad
989,3855,48,black,happy
990,59,27,asian,happy
991,60,26,asian,happy
992,5103,25,white,happy
993,5104,27,white,sad
994,5105,27,white,angry
995,5106,26,white,happy
996,5108,32,white,neutral
997,5109,31,white,happy
998,5110,21,white,neutral
999,5111,23,white,neutral
1000,5112,25,white,neutral
1001,5113,29,white,sad
1002,5114,26,white,sad
1003,5115,32,white,neutral
1004,5116,27,white,neutral
1005,946,27,white,happy
1006,947,27,white,happy
1007,948,28,white,happy
1008,949,26,white,happy
1009,950,31,white,happy
1010,5117,30,white,happy
1011,5118,31,white,happy
1012,5119,29,white,happy
1013,5120,31,white,happy
1014,5121,31,white,happy
1015,5122,32,white,happy
1016,5123,28,white,happy
1017,5124,29,white,happy
1018,5125,29,white,neutral
1019,5126,26,white,happy
1020,5127,30,white,happy
1021,5128,26,white,neutral
1022,5129,30,white,neutral
1023,5130,25,white,happy
1024,5131,24,white,happy
1025,1340,25,white,happy
1026,1341,21,white,sad
1027,1342,20,white,happy
1028,1343,22,white,happy
1029,834,23,white,happy
1030,835,21,white,happy
1031,836,25,asian,neutral
1032,837,22,white,happy
1033,838,30,latino hispanic,happy
1034,839,24,latino hispanic,happy
1035,2670,25,white,happy
1036,3556,28,white,happy
1037,3557,25,white,neutral
1038,3558,27,white,angry
1039,4921,39,white,happy
1040,4922,40,white,neutral
1041,4923,37,white,neutral
1042,4924,39,white,neutral
1043,4925,42,white,sad
1044,4926,44,white,surprise
1045,4927,41,white,neutral
1046,4928,39,white,neutral
1047,4929,43,white,neutral
1048,4930,36,white,neutral
1049,4931,39,middle eastern,happy
1050,3726,26,white,neutral
1051,3727,26,white,surprise
1052,3728,32,white,angry
1053,3729,24,white,happy
1054,4495,31,white,happy
1055,4497,35,white,happy
1056,4498,29,asian,happy
1057,4500,22,asian,sad
1058,4503,22,white,happy
1059,3907,23,asian,neutral
1060,3908,39,asian,happy
1061,3909,36,asian,happy
1062,3910,21,asian,happy
1063,3911,39,asian,happy
1064,3912,33,asian,neutral
1065,3913,39,white,happy
1066,3914,26,asian,neutral
1067,3916,23,asian,angry
1068,841,28,white,happy
1069,842,25,white,happy
1070,843,34,white,happy
1071,844,23,white,sad
1072,813,32,asian,sad
1073,814,30,white,happy
1074,816,32,white,happy
1075,845,35,white,happy
1076,846,27,white,happy
1077,3724,21,white,happy
1078,224,24,white,happy
1079,225,41,white,happy
1080,226,45,white,neutral
1081,227,33,white,neutral
1082,2738,40,white,happy
1083,2773,24,white,surprise
1084,3708,29,white,happy
